valence,year,acousticness,artists,danceability,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Genre,duration_min
518.0,2015,0.00543,['BØRNS'],611.0,797.0,0,2GiJYvgVaD2HtM8GqD9EgQ,0.0008825,6,0.26,-7.627,0,Electric Love,86.5,2015-10-16,0.0533,"120,041",Indie Pop / Dream Pop,3.6351166666666668
337.0,2015,0.0678,['The Neighbourhood'],588.0,521.0,0,5E30LdtzQTGqRvNd7l6kG5,0.0008825,10,123.0,-9461.0,1,Daddy Issues,86.0,2015-10-30,0.0329,"85,012",Alternative R&B,4.336216666666667
785.0,2015,0.0115,['Tame Impala'],0.64,0.74,1,6K4t31amVTZDgR3sKmwUJJ,0.0008825,4,0.167,-4083.0,1,The Less I Know The Better,85.0,2015-07-17,0.0284,"116,879",Psychedelic Pop / Indie Rock,3.6053333333333333
512.0,2015,205.0,['Chris Stapleton'],392.0,0.37,0,3fqwjXwUGN6vbzIwvyFMhx,0.0008825,9,0.0821,-10888.0,1,Tennessee Whiskey,79.0,2015-05-04,0.0298,"48,718",Country Soul,4.888216666666667
672.0,2015,0.0371,['WILLOW'],764.0,705.0,0,0y60itmpH0aPKsFiGxmtnh,1.94e-05,3,0.0943,-5279.0,0,Wait a Minute!,83.0,2015-01-11,0.0278,"101,003",Alternative R&B / Pop,3.2753333333333337
0.1,2015,762.4442,['Lord Huron'],545.0,366.0,0,0QZ5yyl6B6utIWkxeBDxQN,0.0008825,2,0.641,-9.51,1,The Night We Met,76.0,2015-04-07,0.0378,86.997,Indie Folk,3.4701999999999997
0.137,2015,0.0671,['The Weeknd'],585.0,564.0,1,7fBv7CLKzipRk6EC6TWHOB,0.0,0,135.0,-7063.0,0,The Hills,83.0,2015-08-28,0.0515,"113,003",Dark R&B / Alternative R&B,4.0375499999999995
189.0,2015,223.0,['Bryson Tiller'],765.0,0.356,1,3pXF1nA74528Edde4of9CC,0.0,11,0.0963,-5556.0,0,Don't,79.0,2015-10-02,195.0,"96,991",R&B,3.3048833333333336
446.0,2015,612.0,['Melanie Martinez'],0.68,0.729,1,4DpNNXFMMxQEKl7r0ykkWA,0.0,5,224.0,-5077.0,1,Play Date,85.0,2015-08-14,0.0475,123.97,Indie Pop,2.997783333333333
276.0,2015,107.0,['Bryson Tiller'],525.0,433.0,1,43PuMrRfbyyuz4QpZ3oAwN,0.0,6,135.0,-10598.0,1,Exchange,78.0,2015-10-02,185.0,"160,108",R&B,3.24355
0.4,2015,418.0,['Thomas Rhett'],595.0,389.0,0,5kNe7PE09d6Kvw5pAsx23n,1.39e-06,2,116.0,-9245.0,1,Die A Happy Man,75.0,2015-01-01,0.0349,166.052,Country Pop,3.79045
315.0,2015,611.0,['blackbear'],0.63,0.5,1,6y6jbcPG4Yn3Du4moXaenr,4.04e-05,1,114.0,-8755.0,0,idfc,80.0,2015-02-14,0.0611,"144,871",Alternative Pop,4.0862
0.19,2015,0.47,"['Mac Miller', 'Miguel']",843.0,435.0,1,6GnhWMhgJb7uyiiPEiEkDA,0.0,8,147.0,-8442.0,1,Weekend (feat. Miguel),76.0,2015-09-18,0.178,"120,058",R&B / Hip-Hop,3.4680000000000004
0.19,2015,324.0,['$uicideBoy$'],753.0,679.0,1,5XAPpyIoYF3QXP34Hv8Pvx,4.21e-05,5,423.0,-7.092,0,Kill Yourself (Part III),79.0,2015-09-21,0.0349,"105,977",Emo Rap,2.4179666666666666
648.0,2015,0.0462,['Twenty One Pilots'],0.734,637.0,0,3CRDbSIZ4r5MsZ0YwxuEkn,2.29e-05,4,0.0602,-5.677,0,Stressed Out,84.0,2015-05-15,141.0,"169,977",Alternative Pop / Rap Rock,3.3722166666666666
113.0,2015,157.0,"['Roy Woods', 'Drake']",0.709,362.0,1,0PXp9QxBfSKGGpWUNaws2X,0.0,11,109.0,-9814.0,1,Drama (feat. Drake),77.0,2015-07-31,55.0,"122,043",R&B,4.197666666666667
123.0,2015,187.0,['Rae Sremmurd'],0.689,564.0,1,1Ser4X0TKttOvo8bgdytTP,0.0,2,0.0721,-6226.0,1,Come Get Her,77.0,2015-01-06,136.0,"185,023",Hip-Hop,3.549116666666667
0.56,2015,0.00359,['Fall Out Boy'],393.0,858.0,0,04aAxqtGp5pv12UXAg4pkq,0.0,4,102.0,-2.868,0,Centuries,81.0,2015-01-20,0.0729,"176,042",Pop Rock,3.806
928.0,2015,0.00801,"['Mark Ronson', 'Bruno Mars']",856.0,609.0,0,32OlwWuMpZ6b0aN2RZOeMS,8.15e-05,0,0.0344,-7223.0,1,Uptown Funk (feat. Bruno Mars),82.0,2015-01-12,0.0824,"114,988",Funk Pop,4.49445
