valence,year,acousticness,artists,danceability,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Genre,duration_min
0.518,2015,0.005,['BØRNS'],0.611,0.797,0,2GiJYvgVaD2HtM8GqD9EgQ,0.001,6,0.26,-7.627,0,Electric Love,86.5,16/10/2015,0.053,120.041,Indie Pop / Dream Pop,3.635
0.337,2015,0.068,['The Neighbourhood'],0.588,0.521,0,5E30LdtzQTGqRvNd7l6kG5,0.001,10,0.123,-60.0,1,Daddy Issues,86.0,30/10/2015,0.033,85.012,Alternative R&B,4.336
0.785,2015,0.012,['Tame Impala'],0.64,0.74,1,6K4t31amVTZDgR3sKmwUJJ,0.001,4,0.167,-60.0,1,The Less I Know The Better,85.0,17/07/2015,0.028,116.879,Psychedelic Pop / Indie Rock,3.605
0.512,2015,0.205,['Chris Stapleton'],0.392,0.37,0,3fqwjXwUGN6vbzIwvyFMhx,0.001,9,0.082,-60.0,1,Tennessee Whiskey,79.0,04/05/2015,0.03,50.0,Country Soul,4.888
0.672,2015,0.037,['WILLOW'],0.764,0.705,0,0y60itmpH0aPKsFiGxmtnh,0.0,3,0.094,-60.0,0,Wait a Minute!,83.0,11/01/2015,0.028,101.003,Alternative R&B / Pop,3.275
0.1,2015,0.762,['Lord Huron'],0.545,0.366,0,0QZ5yyl6B6utIWkxeBDxQN,0.001,2,0.641,-9.51,1,The Night We Met,76.0,07/04/2015,0.038,86.997,Indie Folk,3.47
0.137,2015,0.067,['The Weeknd'],0.585,0.564,1,7fBv7CLKzipRk6EC6TWHOB,0.0,0,0.135,-60.0,0,The Hills,83.0,28/08/2015,0.052,113.003,Dark R&B / Alternative R&B,4.038
0.189,2015,0.223,['Bryson Tiller'],0.765,0.356,1,3pXF1nA74528Edde4of9CC,0.0,11,0.096,-60.0,0,Don't,79.0,02/10/2015,0.195,96.991,R&B,3.305
0.446,2015,0.612,['Melanie Martinez'],0.68,0.729,1,4DpNNXFMMxQEKl7r0ykkWA,0.0,5,0.224,-60.0,1,Play Date,85.0,14/08/2015,0.048,123.97,Indie Pop,2.998
0.276,2015,0.107,['Bryson Tiller'],0.525,0.433,1,43PuMrRfbyyuz4QpZ3oAwN,0.0,6,0.135,-60.0,1,Exchange,78.0,02/10/2015,0.185,160.108,R&B,3.244
0.4,2015,0.418,['Thomas Rhett'],0.595,0.389,0,5kNe7PE09d6Kvw5pAsx23n,0.0,2,0.116,-60.0,1,Die A Happy Man,75.0,01/01/2015,0.035,166.052,Country Pop,3.79
0.315,2015,0.611,['blackbear'],0.63,0.5,1,6y6jbcPG4Yn3Du4moXaenr,0.0,1,0.114,-60.0,0,idfc,80.0,14/02/2015,0.061,144.871,Alternative Pop,4.086
0.19,2015,0.47,"['Mac Miller', 'Miguel']",0.843,0.435,1,6GnhWMhgJb7uyiiPEiEkDA,0.0,8,0.147,-60.0,1,Weekend (feat. Miguel),76.0,18/09/2015,0.178,120.058,R&B / Hip-Hop,3.468
0.19,2015,0.324,['$uicideBoy$'],0.753,0.679,1,5XAPpyIoYF3QXP34Hv8Pvx,0.0,5,0.423,-7.092,0,Kill Yourself (Part III),79.0,21/09/2015,0.035,105.977,Emo Rap,2.418
0.648,2015,0.046,['Twenty One Pilots'],0.734,0.637,0,3CRDbSIZ4r5MsZ0YwxuEkn,0.0,4,0.06,-5.677,0,Stressed Out,84.0,15/05/2015,0.141,169.977,Alternative Pop / Rap Rock,3.372
0.113,2015,0.157,"['Roy Woods', 'Drake']",0.709,0.362,1,0PXp9QxBfSKGGpWUNaws2X,0.0,11,0.109,-60.0,1,Drama (feat. Drake),77.0,31/07/2015,0.055,122.043,R&B,4.198
0.123,2015,0.187,['Rae Sremmurd'],0.689,0.564,1,1Ser4X0TKttOvo8bgdytTP,0.0,2,0.072,-60.0,1,Come Get Her,77.0,06/01/2015,0.136,185.023,Hip-Hop,3.549
0.56,2015,0.004,['Fall Out Boy'],0.393,0.858,0,04aAxqtGp5pv12UXAg4pkq,0.0,4,0.102,-2.868,0,Centuries,81.0,20/01/2015,0.073,176.042,Pop Rock,3.806
0.928,2015,0.008,"['Mark Ronson', 'Bruno Mars']",0.856,0.609,0,32OlwWuMpZ6b0aN2RZOeMS,0.0,0,0.034,-60.0,1,Uptown Funk (feat. Bruno Mars),82.0,12/01/2015,0.082,114.988,Funk Pop,4.494
0.395,2015,0.036,"['Big Sean', 'E-40']",0.824,0.733,1,7FYH5AW3bVfZHJIQpq3UOA,0.0,1,0.325,-60.0,1,I Don't Fuck With You,75.0,24/02/2015,0.061,97.972,Hip-Hop,4.74
